time,temperature,vol1,vol2
13.300,299.4,0.849,-0.468
13.350,299.4,0.849,-0.468
13.400,299.4,0.849,-0.468
13.450,299.4,0.849,-0.468
13.500,299.4,0.844,-0.468
13.550,299.4,0.849,-0.468
13.600,299.4,0.849,-0.468
13.650,299.3,0.849,-0.468
13.700,299.4,0.849,-0.468
13.750,299.4,0.844,-0.468
13.800,299.4,0.849,-0.468
13.850,299.4,0.849,-0.468
13.900,299.4,0.849,-0.468
13.950,299.4,0.849,-0.468
14.000,299.4,0.844,-0.468
14.050,299.4,0.849,-0.468
14.100,299.4,0.849,-0.468
14.150,299.4,0.849,-0.468
14.200,299.4,0.849,-0.468
14.250,299.3,0.849,-0.468
14.300,299.4,0.849,-0.468
14.350,299.4,0.849,-0.468
14.400,299.4,0.849,-0.468
14.450,299.4,0.844,-0.468
14.500,299.4,0.849,-0.468
14.550,299.4,0.849,-0.468
14.600,299.4,0.849,-0.468
14.650,299.4,0.849,-0.468
14.700,299.4,0.849,-0.468
14.750,299.4,0.854,-0.468
14.800,299.4,0.849,-0.468
14.850,299.4,0.844,-0.468
14.900,299.4,0.849,-0.468
14.950,299.4,0.849,-0.468
15.000,299.4,0.849,-0.468
15.050,299.4,0.849,-0.468
15.100,299.3,0.849,-0.464
15.150,299.4,0.844,-0.468
15.200,299.4,0.844,-0.468
15.250,299.4,0.844,-0.468
15.300,299.4,0.849,-0.468
15.350,299.4,0.849,-0.468
15.400,299.4,0.849,-0.468
15.450,299.4,0.844,-0.468
15.500,299.4,0.849,-0.468
15.550,299.4,0.849,-0.468
15.600,299.4,0.844,-0.468
15.650,299.4,0.844,-0.468
15.700,299.4,0.849,-0.468
15.750,299.4,0.844,-0.468
15.800,299.4,0.844,-0.468
15.850,299.4,0.844,-0.468
15.900,299.4,0.844,-0.468
15.950,299.4,0.849,-0.468
16.000,299.4,0.844,-0.468
16.050,299.4,0.849,-0.468
16.100,299.4,0.844,-0.468
16.150,299.4,0.849,-0.468
16.200,299.4,0.849,-0.468
16.250,299.4,0.849,-0.468
16.300,299.4,0.844,-0.468
16.350,299.4,0.849,-0.468
16.400,299.4,0.849,-0.468
16.450,299.4,0.849,-0.468
16.500,299.3,0.849,-0.468
16.550,299.4,0.849,-0.468
16.600,299.4,0.849,-0.468
16.650,299.4,0.844,-0.468
16.700,299.4,0.849,-0.468
16.750,299.4,0.849,-0.468
16.800,299.4,0.844,-0.468
16.850,299.4,0.849,-0.468
16.900,299.4,0.844,-0.468
16.950,299.4,0.849,-0.468
17.000,299.4,0.844,-0.468
17.050,299.4,0.844,-0.468
17.100,299.4,0.844,-0.468
17.150,299.4,0.844,-0.468
17.200,299.4,0.849,-0.468
17.250,299.4,0.844,-0.468
17.300,299.4,0.844,-0.468
17.350,299.4,0.844,-0.468
17.400,299.4,0.844,-0.468
17.450,299.4,0.849,-0.468
17.500,299.4,0.849,-0.468
17.550,299.4,0.849,-0.468
17.600,299.3,0.844,-0.468
17.650,299.4,0.844,-0.468
17.700,299.4,0.849,-0.468
17.750,299.4,0.849,-0.468
17.800,299.4,0.849,-0.468
17.850,299.4,0.849,-0.468
17.900,299.4,0.844,-0.468
17.950,299.4,0.844,-0.468
18.000,299.3,0.849,-0.468
18.050,299.4,0.849,-0.468
18.100,299.4,0.849,-0.468
18.150,299.4,0.849,-0.468
18.200,299.4,0.849,-0.468
18.250,299.4,0.844,-0.468
18.300,299.4,0.849,-0.468
18.350,299.4,0.849,-0.468
18.400,299.4,0.844,-0.468
18.450,299.4,0.844,-0.468
18.500,299.4,0.844,-0.468
18.550,299.4,0.849,-0.468
18.600,299.4,0.844,-0.468
18.650,299.4,0.844,-0.468
18.700,299.4,0.844,-0.468
18.750,299.4,0.844,-0.468
18.800,299.4,0.844,-0.468
18.850,299.4,0.849,-0.468
18.900,299.4,0.844,-0.468
18.950,299.4,0.844,-0.468
19.000,299.4,0.844,-0.468
19.050,299.4,0.849,-0.468
19.100,299.4,0.844,-0.468
19.150,299.4,0.849,-0.468
19.200,299.4,0.849,-0.468
19.250,299.4,0.849,-0.468
19.300,299.4,0.849,-0.468
19.350,299.4,0.849,-0.468
19.400,299.4,0.849,-0.468
19.450,299.4,0.849,-0.464
19.500,299.4,0.844,-0.468
19.550,299.4,0.844,-0.468
19.600,299.4,0.844,-0.468
19.650,299.4,0.849,-0.468
19.700,299.4,0.844,-0.468
19.750,299.4,0.849,-0.468
19.800,299.4,0.849,-0.468
19.850,299.4,0.849,-0.468
19.900,299.4,0.849,-0.468
19.950,299.4,0.849,-0.468
20.000,299.4,0.844,-0.468
20.050,299.4,0.849,-0.468
20.100,299.4,0.844,-0.468
20.150,299.4,0.844,-0.468
20.200,299.4,0.849,-0.468
20.250,299.4,0.844,-0.468
20.300,299.4,0.844,-0.468
20.350,299.4,0.849,-0.468
20.400,299.4,0.849,-0.468
20.450,299.4,0.844,-0.468
20.500,299.4,0.849,-0.468
20.550,299.4,0.849,-0.468
20.600,299.4,0.849,-0.468
20.650,299.4,0.849,-0.468
20.700,299.4,0.849,-0.468
20.750,299.4,0.844,-0.468
20.800,299.4,0.849,-0.468
20.850,299.4,0.849,-0.468
20.900,299.4,0.849,-0.468
20.950,299.4,0.844,-0.468
21.000,299.4,0.849,-0.464
21.050,299.4,0.844,-0.468
21.100,299.4,0.844,-0.468
21.150,299.4,0.844,-0.468
21.200,299.4,0.844,-0.468
21.250,299.4,0.844,-0.468
21.300,299.4,0.844,-0.468
21.350,299.4,0.844,-0.468
21.400,299.4,0.844,-0.468
21.450,299.4,0.849,-0.468
21.500,299.4,0.844,-0.468
21.550,299.4,0.844,-0.468
21.600,299.4,0.844,-0.468
21.650,299.4,0.844,-0.468
21.700,299.4,0.849,-0.468
21.750,299.4,0.849,-0.468
21.800,299.4,0.849,-0.468
21.850,299.4,0.849,-0.468
21.900,299.4,0.849,-0.474
21.950,299.4,0.849,-0.468
22.000,299.4,0.849,-0.468
22.050,299.4,0.849,-0.468
22.100,299.4,0.849,-0.468
22.150,299.4,0.849,-0.468
22.200,299.4,0.849,-0.468
22.250,299.4,0.849,-0.468
22.300,299.4,0.849,-0.468
22.350,299.4,0.849,-0.468
22.400,299.4,0.844,-0.468
22.450,299.4,0.844,-0.468
22.500,299.4,0.849,-0.468
22.550,299.4,0.844,-0.468
22.600,299.4,0.844,-0.468
22.650,299.4,0.844,-0.468
22.700,299.4,0.844,-0.468
22.750,299.4,0.849,-0.468
22.800,299.4,0.844,-0.468
22.850,299.4,0.844,-0.468
22.900,299.4,0.849,-0.468
22.950,299.4,0.849,-0.468
23.000,299.4,0.844,-0.468
23.050,299.4,0.844,-0.468
23.100,299.4,0.844,-0.468
23.150,299.4,0.844,-0.468
23.200,299.4,0.849,-0.468
23.250,299.4,0.849,-0.468
23.300,299.4,0.849,-0.468
23.350,299.4,0.849,-0.468
23.400,299.4,0.844,-0.468
23.450,299.4,0.844,-0.468
23.500,299.4,0.849,-0.468
23.550,299.4,0.849,-0.468
23.600,299.4,0.844,-0.468
23.650,299.4,0.844,-0.468
23.700,299.4,0.849,-0.468
23.750,299.4,0.849,-0.468
23.800,299.4,0.849,-0.468
23.850,299.4,0.849,-0.468
23.900,299.4,0.844,-0.468
23.950,299.4,0.844,-0.468
24.000,299.4,0.844,-0.468
24.050,299.4,0.844,-0.468
24.100,299.4,0.844,-0.468
24.150,299.4,0.844,-0.468
24.200,299.4,0.844,-0.468
24.250,299.4,0.844,-0.468
24.300,299.4,0.844,-0.468
24.350,299.4,0.844,-0.468
24.400,299.4,0.844,-0.468
24.450,299.4,0.844,-0.468
24.500,299.4,0.849,-0.468
24.550,299.4,0.849,-0.468
24.600,299.4,0.849,-0.468
24.650,299.4,0.849,-0.468
24.700,299.4,0.849,-0.468
24.750,299.4,0.849,-0.468
24.800,299.4,0.849,-0.468
24.850,299.4,0.849,-0.468
24.900,299.4,0.849,-0.468
24.950,299.4,0.849,-0.468
25.000,299.4,0.849,-0.468
25.050,299.4,0.844,-0.464
25.100,299.4,0.849,-0.468
25.150,299.4,0.849,-0.468
25.200,299.4,0.849,-0.468
25.250,299.4,0.844,-0.468
25.300,299.4,0.849,-0.468
25.350,299.4,0.844,-0.468
25.400,299.4,0.844,-0.468
25.450,299.4,0.844,-0.468
25.500,299.4,0.844,-0.468
25.550,299.4,0.844,-0.468
25.600,299.4,0.844,-0.468
25.650,299.4,0.844,-0.468
25.700,299.4,0.844,-0.468
25.750,299.4,0.844,-0.468
25.800,299.4,0.844,-0.468
25.850,299.4,0.849,-0.468
25.900,299.4,0.844,-0.468
25.950,299.4,0.849,-0.468
26.000,299.4,0.849,-0.468
26.050,299.4,0.849,-0.468
26.100,299.4,0.849,-0.468
26.150,299.4,0.849,-0.468
26.200,299.4,0.849,-0.468
26.250,299.4,0.849,-0.468
26.300,299.4,0.844,-0.468
26.350,299.4,0.844,-0.468
26.400,299.4,0.844,-0.468
26.450,299.4,0.844,-0.468
26.500,299.4,0.844,-0.464
26.550,299.4,0.844,-0.468
26.600,299.4,0.844,-0.464
26.650,299.4,0.849,-0.468
26.700,299.4,0.849,-0.468
26.750,299.4,0.844,-0.468
26.800,299.4,0.844,-0.468
